"news_id";"prompt_type";"model_response";"parsed_events"
"1.0";"zero_shot";"1. **субъект**: Владимир Путин, Эммануэль Макрон  
   **объект**: ситуация вокруг Украины  
   **действие**: обмен мнениями  
   **время**: четверг  

2. **субъект**: Владимир Путин  
   **объект**: причины и обстоятельства операции  
   **действие**: дал разъяснения  
   **время**: четверг  

3. **субъект**: Владимир Путин  
   **объект**: Украина  
   **действие**: объявил о начале военной операции  
   **время**: утро четверга  

4. **субъект**: народные республики Донбасса  
   **объект**: Россия  
   **действие**: обратились с просьбой о помощи  
   **время**: не указано  

5. **субъект**: Владимир Путин  
   **объект**: украинские военные  
   **действие**: призвал сложить оружие  
   **время**: не указано  

6. **субъект**: Россия  
   **объект**: угроза для россиян  
   **действие**: незамедлительный ответ  
   **время**: не указано  

7. **субъект**: Минобороны РФ  
   **объект**: Украина  
   **действие**: заявление об отсутствии ударов по городам  
   **время**: не указано  

8. **субъект**: Минобороны РФ  
   **объект**: гражданское население  
   **действие**: заверили в безопасности  
   **время**: не указано";"[{'subject': 'Владимир Путин, Эммануэль Макрон', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'ситуация вокруг Украины', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'обмен мнениями', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'четверг'}, {'subject': 'Владимир Путин', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'причины и обстоятельства операции', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'дал разъяснения', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'четверг'}, {'subject': 'Владимир Путин', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'Украина', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'объявил о начале военной операции', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'утро четверга'}, {'subject': 'народные республики Донбасса', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'Россия', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'обратились с просьбой о помощи', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'Владимир Путин', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'украинские военные', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'призвал сложить оружие', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'Россия', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'угроза для россиян', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'незамедлительный ответ', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'Минобороны РФ', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'Украина', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'заявление об отсутствии ударов по городам', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'Минобороны РФ', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'гражданское население', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'заверили в безопасности', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}]"
"1.0";"few_shot";"субъект: Владимир Путин, Эммануэль Макрон; объект: ситуация вокруг Украины; действие: обменялись мнениями, дал разъяснения; время: четверг.  

субъект: Владимир Путин; объект: специальная военная операция; действие: объявил о решении; время: утро в четверг.  

субъект: Минобороны РФ; объект: военная инфраструктура Украины; действие: вывод из строя; время: не указано.";"[{'subject': 'Владимир Путин, Эммануэль Макрон', 'object': 'ситуация вокруг Украины', 'action': 'обменялись мнениями, дал разъяснения', 'time': 'четверг.'}, {'subject': 'Владимир Путин', 'object': 'специальная военная операция', 'action': 'объявил о решении', 'time': 'утро в четверг.'}, {'subject': 'Минобороны РФ', 'object': 'военная инфраструктура Украины', 'action': 'вывод из строя', 'time': 'не указано.'}]"
"1.0";"chain_of_thought";"1.  
субъект: Владимир Путин, Эммануэль Макрон;  
объект: ситуация на Украине;  
действие: обменялись мнениями;  
время: в четверг.  

2.  
субъект: Владимир Путин;  
объект: ситуация на Украине;  
действие: дал исчерпывающие разъяснения;  
время: в четверг.  

3.  
субъект: Владимир Путин;  
объект: специальная военная операция;  
действие: объявил о решении;  
время: утром в четверг.  

4.  
субъект: Владимир Путин;  
объект: украинские военные;  
действие: призвал сложить оружие;  
время: утром в четверг.  

5.  
субъект: Минобороны РФ;  
объект: военная инфраструктура Украины;  
действие: вывод из строя высокоточными средствами;  
время: позднее в четверг.";"[{'subject': 'Владимир Путин, Эммануэль Макрон', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'ситуация на Украине', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'обменялись мнениями', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'в четверг.'}, {'subject': 'Владимир Путин', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'ситуация на Украине', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'дал исчерпывающие разъяснения', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'в четверг.'}, {'subject': 'Владимир Путин', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'специальная военная операция', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'объявил о решении', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'утром в четверг.'}, {'subject': 'Владимир Путин', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'украинские военные', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'призвал сложить оружие', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'утром в четверг.'}, {'subject': 'Минобороны РФ', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'военная инфраструктура Украины', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'вывод из строя высокоточными средствами', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'позднее в четверг.'}]"
"2.0";"zero_shot";"субъект: Роскомнадзор; объект: интернет-сервис Roblox; действие: ограничил доступ; время: не указано.  
субъект: Роскомнадзор; объект: администрация Roblox; действие: направлял уведомления с требованием удалить запрещенные материалы; время: конец ноября.  
субъект: мониторинг; объект: внутренняя система модерации Roblox; действие: подтверждал неспособность обеспечить полную безопасность материалов; время: не указано.  
субъект: педофилы; объект: несовершеннолетние; действие: знакомятся, подвергают сексуальным домогательствам, выманивают интимные фото, склоняют к развратным действиям и насилию; время: не указано.";"[{'subject': 'Роскомнадзор', 'object': 'интернет-сервис Roblox', 'action': 'ограничил доступ', 'time': 'не указано.'}, {'subject': 'Роскомнадзор', 'object': 'администрация Roblox', 'action': 'направлял уведомления с требованием удалить запрещенные материалы', 'time': 'конец ноября.'}, {'subject': 'мониторинг', 'object': 'внутренняя система модерации Roblox', 'action': 'подтверждал неспособность обеспечить полную безопасность материалов', 'time': 'не указано.'}, {'subject': 'педофилы', 'object': 'несовершеннолетние', 'action': 'знакомятся, подвергают сексуальным домогательствам, выманивают интимные фото, склоняют к развратным действиям и насилию', 'time': 'не указано.'}]"
"2.0";"few_shot";"субъект: Роскомнадзор; объект: Roblox; действие: ограничил доступ; время: не указано.";"[{'subject': 'Роскомнадзор', 'object': 'Roblox', 'action': 'ограничил доступ', 'time': 'не указано.'}]"
"2.0";"chain_of_thought";"1.  
- субъект: Роскомнадзор;  
- объект: доступ к американскому интернет-сервису Roblox;  
- действие: ограничил;  
- время: не указано (ноябрь, исходя из контекста).  

2.  
- субъект: Роскомнадзор;  
- объект: администрация Roblox;  
- действие: направлял уведомления с требованием удалить запрещенные материалы;  
- время: конец ноября.  

3.  
- субъект: мониторинг;  
- объект: внутренняя система модерации Roblox;  
- действие: подтверждал неспособность обеспечить безопасность материалов;  
- время: не указано (ноябрь, исходя из контекста).  

4.  
- субъект: Роскомнадзор;  
- объект: площадка Roblox;  
- действие: отметил популярность у педофилов и случаи противоправного поведения;  
- время: не указано (ноябрь, исходя из контекста).  

5.  
- субъект: педофилы;  
- объект: несовершеннолетние пользователи Roblox;  
- действие: знакомятся, выманивают интимные фото, склоняют к развратным действиям и насилию;  
- время: неоднократно (указывается, что случаи носят не единичный характер).";"[{'subject': 'Роскомнадзор', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'доступ к американскому интернет-сервису Roblox', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'ограничил', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано (ноябрь, исходя из контекста).'}, {'subject': 'Роскомнадзор', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'администрация Roblox', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'направлял уведомления с требованием удалить запрещенные материалы', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'конец ноября.'}, {'subject': 'мониторинг', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'внутренняя система модерации Roblox', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'подтверждал неспособность обеспечить безопасность материалов', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано (ноябрь, исходя из контекста).'}, {'subject': 'Роскомнадзор', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'площадка Roblox', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'отметил популярность у педофилов и случаи противоправного поведения', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано (ноябрь, исходя из контекста).'}, {'subject': 'педофилы', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'несовершеннолетние пользователи Roblox', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'знакомятся, выманивают интимные фото, склоняют к развратным действиям и насилию', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'неоднократно (указывается, что случаи носят не единичный характер).'}]"
"3.0";"zero_shot";"1. **субъект**: Роскомнадзор (РКН); **объект**: ссылки на страницы сайтов и площадок с аудиозаписями и текстами песен Гуфа; **действие**: внесение в Единый реестр запрещённой информации; **время**: не указано.  

2. **субъект**: МВД России; **объект**: не указано; **действие**: принятие решений (основание для действий РКН); **время**: не указано.  

3. **субъект**: РКН; **объект**: песни Гуфа (""Кто как играет"", ""Три нити"", ""Новости""); **действие**: запрет из-за пропаганды наркотических средств; **время**: не указано.";"[{'subject': 'Роскомнадзор (РКН)', 'object': 'ссылки на страницы сайтов и площадок с аудиозаписями и текстами песен Гуфа', 'action': 'внесение в Единый реестр запрещённой информации', 'time': 'не указано.'}, {'subject': 'МВД России', 'object': 'не указано', 'action': 'принятие решений (основание для действий РКН)', 'time': 'не указано.'}, {'subject': 'РКН', 'object': 'песни Гуфа (""Кто как играет"", ""Три нити"", ""Новости"")', 'action': 'запрет из-за пропаганды наркотических средств', 'time': 'не указано.'}]"
"3.0";"few_shot";"субъект: Роскомнадзор; объект: ссылки на страницы сайтов и площадок, содержащие аудиозаписи и тексты песен Гуфа; действие: внес в Единый реестр запрещённой информации; время: не указано.";"[{'subject': 'Роскомнадзор', 'object': 'ссылки на страницы сайтов и площадок, содержащие аудиозаписи и тексты песен Гуфа', 'action': 'внес в Единый реестр запрещённой информации', 'time': 'не указано.'}]"
"3.0";"chain_of_thought";"1.  
- субъект: Роскомнадзор (РКН);  
- объект: ссылки на страницы сайтов и площадок с аудиозаписями и текстами песен Гуфа;  
- действие: внес в Единый реестр запрещённой информации;  
- время: на момент сообщения РИА Новости.  

2.  
- субъект: МВД России;  
- объект: решения о запрете информации;  
- действие: принял решения (основание для внесения в реестр);  
- время: до внесения в реестр.  

3.  
- субъект: Роскомнадзор;  
- объект: песни Гуфа (""Кто как играет"", ""Три нити"", ""Новости"");  
- действие: выявил наличие информации о действиях по использованию наркотических средств;  
- время: до внесения в реестр.";"[{'subject': 'Роскомнадзор (РКН)', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'ссылки на страницы сайтов и площадок с аудиозаписями и текстами песен Гуфа', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'внес в Единый реестр запрещённой информации', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'на момент сообщения РИА Новости.'}, {'subject': 'МВД России', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'решения о запрете информации', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'принял решения (основание для внесения в реестр)', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'до внесения в реестр.'}, {'subject': 'Роскомнадзор', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'песни Гуфа (""Кто как играет"", ""Три нити"", ""Новости"")', 'action': 'не указано', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'выявил наличие информации о действиях по использованию наркотических средств', 'time': 'не указано'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'до внесения в реестр.'}]"
"4.0";"zero_shot";"1. Субъект: Парламент Дании; объект: законопроект по борьбе с операциями психологического воздействия; действие: представил; время: не указано.  

2. Субъект: граждане Дании; объект: уголовная ответственность; действие: может грозить; время: если документ примут.  

3. Субъект: российские СМИ; объект: Дания; действие: освещали убийство жирафа Мариуса; время: февраль 2014 года.  

4. Субъект: датские власти; объект: российские СМИ; действие: увидели желание опорочить королевство; время: не указано.  

5. Субъект: датский парламент; объект: законопроект о борьбе с психологическим воздействием; действие: разместил; время: не указано.  

6. Субъект: Флемминг Росе; объект: законопроект; действие: раскритиковал; время: не указано.  

7. Субъект: посольство Дании в Москве; объект: статья Росе; действие: отреагировало, опровергло; время: не указано.  

8. Субъект: МИД, Минобороны и Минюст Дании; объект: российская угроза; действие: призывали объединить усилия; время: сентябрь прошлого года.  

9. Субъект: министр иностранных дел Дании Андерс Самюэлсен; объект: Россия; действие: обвинил в попытках влияния на выборы; время: сентябрь прошлого года.  

10. Субъект: министр обороны Дании Клаус Хьорт Фредериксен; объект: Россия; действие: обвинил в распространении лживой информации; время: не указано.  

11. Субъект: Насер Хадер; объект: Россия; действие: призвал атаковать в киберпространстве; время: начало октября.  

12. Субъект:";"[{'subject': 'не указано', 'object': 'законопроект по борьбе с операциями психологического воздействия', 'action': 'представил', 'time': 'не указано.'}, {'subject': 'не указано', 'object': 'уголовная ответственность', 'action': 'может грозить', 'time': 'если документ примут.'}, {'subject': 'не указано', 'object': 'Дания', 'action': 'освещали убийство жирафа Мариуса', 'time': 'февраль 2014 года.'}, {'subject': 'не указано', 'object': 'российские СМИ', 'action': 'увидели желание опорочить королевство', 'time': 'не указано.'}, {'subject': 'не указано', 'object': 'законопроект о борьбе с психологическим воздействием', 'action': 'разместил', 'time': 'не указано.'}, {'subject': 'не указано', 'object': 'законопроект', 'action': 'раскритиковал', 'time': 'не указано.'}, {'subject': 'не указано', 'object': 'статья Росе', 'action': 'отреагировало, опровергло', 'time': 'не указано.'}, {'subject': 'не указано', 'object': 'российская угроза', 'action': 'призывали объединить усилия', 'time': 'сентябрь прошлого года.'}, {'subject': 'не указано', 'object': 'Россия', 'action': 'обвинил в попытках влияния на выборы', 'time': 'сентябрь прошлого года.'}, {'subject': 'не указано', 'object': 'Россия', 'action': 'обвинил в распространении лживой информации', 'time': 'не указано.'}, {'subject': 'не указано', 'object': 'Россия', 'action': 'призвал атаковать в киберпространстве', 'time': 'начало октября.'}, {'subject': 'не указано', 'object': 'не указано', 'action': 'не указано', 'time': 'не указано'}]"
